發生地點,經度,緯度
花蓮縣吉安鄉慶豐四街口 / 花蓮縣吉安鄉慶南三街口,121.570830,23.975420
雲林縣斗南鎮延平路二段與莒光街口,120.475931,23.670112
苗栗縣苑裡鎮舊社里苗130線與德行路口,120.680642,24.419439
臺北市士林區中山北路5段前0.0公尺,121.526360,25.087075
高雄市楠梓區德民路 / 高雄市楠梓區德民路,120.298872,22.723846
苗栗縣竹南鎮台61線93.7公里處北上慢車道,120.842473,24.676225
臺南市麻豆區南勢里南勢87之2號,120.272123,23.189311
臺北市士林區承德路4段277巷前0.0公尺,121.519832,25.089617
臺中市沙鹿區鹿峰里中清路七段北側 / 臺中市沙鹿區鹿峰里三民路,120.575650,24.251770
屏東縣崁頂鄉港東2號橋往南防汛道路旁水溝(台電電桿后廍90R41L9T3182EA20),120.478403,22.516677
嘉義縣中埔鄉富收村富裕路128號前0.0公尺附近,120.481528,23.447948
高雄市岡山區成功路 / 高雄市岡山區成功路,120.300574,22.810926
嘉義縣義竹鄉溪州村台19線91.45公里,120.245420,23.398974
嘉義縣大林鎮國道1號 251公里500.0公尺處北側向內側,120.432739,23.591355
臺南市玉井區台3線 371公里500.0公尺處西側向外側,120.477655,23.135629
新竹縣湖口鄉國道1號 84公里700.0公尺處北側向外側,121.064183,24.876976
桃園市八德區廣興路641號前0.0公尺附近,121.283737,24.946916
臺南市佳里區南47 2公里500.0公尺處,120.210043,23.173928
彰化縣秀水鄉金興村番花路 / 彰化縣秀水鄉金興村正興路,120.524454,24.014461
雲林縣北港鎮好收里雲162公路與產業道路口,120.288198,23.595787
雲林縣東勢鄉四美村四美,120.247094,23.726362
雲林縣二崙鄉定安村田寮(田寮28東17K2463FB32電桿),120.406220,23.815579
彰化縣鹿港鎮洋厝里鹿草路3段 / 彰化縣鹿港鎮洋厝里新厝巷,120.447937,24.090128
宜蘭縣頭城鎮吉祥路142號前0.0公尺北側,121.817545,24.859386
新北市板橋區新北市板橋區民生路3段40號,121.467479,25.024923
高雄市岡山區大仁北路 / 高雄市岡山區大仁北路,120.302375,22.792739
臺中市豐原區翁子里豐勢路2段245巷前0.0公尺,120.741628,24.263455
新北市板橋區新北市板橋區長江路1段105巷與環河西路,121.459465,25.029749
桃園市觀音區工業七路10號前0.0公尺,121.106436,25.052765
臺北市萬華區大理街 / 臺北市萬華區雙園街,121.493091,25.032270
臺南市將軍區忠嘉里南21線3.5公里,120.155169,23.201761
