X,Y,Z,
121.5184064,25.06424319,大同區承德路3段35號,
121.5176185,25.06849295,大同區民族西路80號,
121.5126723,25.07207927,大同區酒泉街與迪化街2段口,
121.5148139,25.06308107,大同區民權西路與蘭州街口,
121.5105268,25.05027527,大同區鄭州路與塔城街口,
121.5108888,25.0628234,大同區延平北路2段與民權西路口,
121.5112205,25.0627882,大同區延平北路3段與民權西路口,
121.5090404,25.06755497,大同區環河北路2段155號,
121.5148754,25.05439131,大同區寧夏路5號,
121.5184309,25.06302113,大同區民權西路與承德路3段口,
121.5113632,25.06272464,大同區民權西路與延平北路2段口,
121.5122812,25.07057017,大同區重慶北路3段236巷與重慶北路3段236巷45弄口口,
121.5089539,25.05812596,大同區歸綏街第48號停車格,
121.5136176,25.06910591,大同區重慶北路3段182號,
121.5198625,25.05271098,大同區南京西路28號,
121.5181163,25.05476235,大同區承德路2段與平陽街口,
121.5180103,25.05737582,大同區民生西路與承德路2段口,
121.5096537,25.0581915,大同區歸綏街與迪化街1段口口,
121.5113941,25.06052203,大同區延平北路2段與涼州街口,
121.5138531,25.0569975,大同區重慶北路2段與民生西路口,
121.5165437,25.0630419,大同區民權西路145號,
121.5165372,25.05516489,大同區太原路與平陽街口,
121.5144475,25.0541337,大同區重慶北路2段與南京西路口,
121.5206885,25.07641172,大同區承德路3段(承德橋下),
121.5103663,25.06320681,大同區民權西路245巷與民權西路口,
121.518516,25.07044737,大同區承德路3段與酒泉街口,
121.5190376,25.0585391,大同區雙連街與萬全街口,
121.5082106,25.05060652,大同區西寧北路與鄭州路口,
121.5182733,25.06587604,大同區承德路3段與昌吉街口,
121.5196523,25.05278348,大同區南京西路36號,
121.5163945,25.04886768,大同區承德路1段與市民大道1段口,
121.5151127,25.0589543,大同區寧夏路83號,
121.5187085,25.0488533,大同區市民大道1段與市民大道口迴轉道旁,
121.5112205,25.0627882,大同區延平北路2段與民權西路口,
121.5152442,25.0500203,大同區太原路11-8號與太原路口,
121.516419,25.0486187,大同區市民大道1段與承德路1段口,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5159054,25.0609163,大同區錦西街53巷與涼州街口,
121.5207802,25.07710771,大同區承德橋往南下橋處,
121.5196475,25.05536241,大同區赤峰街與承德路2段53巷口,
121.5183588,25.06856228,大同區承德路3段與民族西路口,
121.5178839,25.05069497,大同區長安西路47-4號,
121.52039,25.07646291,大同區承德橋橋下堤外便道,
121.518273,25.05621942,大同區承德路2段91巷與承德路2段口口,
121.5088835,25.07381789,大同區環河北路2段污水廠前,
121.5110861,25.07701241,大同區延平北路4段282巷與延平北路4段282巷19弄口口,
121.5184337,25.06729158,大同區承德路3段129巷與承德路3段口,
121.5138761,25.05593365,大同區重慶北路2段與重慶北路2段64巷口,
121.5200113,25.07517711,大同區承德路3段與敦煌路口,
121.519147,25.06852389,大同區民族西路53號,
121.5171107,25.07050555,大同區承德路3段208巷45號,
121.5176091,25.06854791,大同區民族西路78號,
121.5196851,25.0561812,大同區赤峰街與赤峰街53巷口,
121.518291,25.0601914,大同區承德路2段與錦西街口,
121.5135104,25.06289818,大同區重慶北路2段與民權西路口,
121.5122317,25.06069949,大同區涼州街42號,
121.5105091,25.050934,大同區塔城街11號,
121.5116613,25.05546834,大同區延平北路2段與延平北路2段60巷口,
121.5135337,25.06382179,大同區重慶北路3段大橋頭捷運站,
121.516888,25.06856501,大同區民族西路120號,
121.5112044,25.06308247,大同區延平北路3段與民權西路口,
121.5111369,25.06869543,大同區民族西路269號,
121.5067095,25.05020689,大同區環河北路1段玉泉公園旁,
121.5182904,25.05977708,大同區承德路2段207號,
121.5132994,25.04956484,大同區鄭州路與重慶北路1段口,
121.5172549,25.0508387,大同區承德路1段與長安西路口,
121.5135412,25.07133933,大同區重慶北路3段252巷第2號停車格,
121.5063264,25.0491513,大同區環河北路1段與忠孝西路2段口,
121.5132592,25.04953425,大同區鄭州路與重慶北路1段口,
121.5108493,25.05686906,大同區民生西路與民樂街口口,
121.514187,25.05465664,大同區重慶北路2段26號,
121.5151547,25.05563858,大同區寧夏路26-3號,
121.5051429,25.04844674,大同區市民高架道與忠孝橋口,
121.5127097,25.0607394,大同區甘州街與涼州街口,
121.5185304,25.07049547,大同區承德路3段與酒泉街口,
121.5108799,25.06803083,大同區延平北路3段148號,
121.5180996,25.0574291,大同區承德路2段與民生西路口,
121.512335,25.05393827,大同區南京西路與南京西路185巷口,
121.5116824,25.05695151,大同區民生西路320號,
121.5135036,25.06318872,大同區重慶北路3段2號,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5071013,25.05295301,大同區民生西路堤外便道,
121.5187285,25.04860564,大同區市民大道1段209號y1,
121.5136953,25.07172535,大同區重慶北路3段272號,
121.5123483,25.06286456,大同區民權西路260號,
121.5184237,25.07054257,大同區承德路3段227號,
121.5122856,25.07055031,大同區重慶北路3段236巷45弄與重慶北路3段236巷口,
121.5175845,25.04973423,大同區華陰街91號,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5200386,25.0751821,大同區承德路3段與敦煌路口,
121.5139599,25.0758146,大同區重慶北路3段381號,
121.517955,25.06000188,大同區錦西街與承德路2段口,
121.5160989,25.0535881,大同區南京西路與太原路口,
121.5136921,25.0570424,大同區民生西路與重慶北路2段口,
121.519044,25.057922,大同區雙連街2號與雙連街1巷口,
121.5181921,25.05317249,大同區南京西路95號,
121.5181437,25.0661604,大同區承德路3段80號與昌吉街口,
121.5135681,25.0592374,大同區重慶北路2段與保安街口,
121.5168445,25.0785782,大同區通河西街1段堤外便道,
121.5172271,25.07194213,大同區庫倫街與庫倫街13巷口,
121.5083969,25.05685525,大同區環河北路1段與民生西路口,
121.507576,25.0485739,大同區忠孝西路2段與西寧北路口,
121.517281,25.06216015,大同區民權西路118巷15弄1號,
121.5105352,25.05028202,大同區鄭州路與塔城街口,
121.5081204,25.05039922,大同區西寧北路與鄭州路口,
121.509956,25.04825582,大同區忠孝西路2段與塔城街口,
121.514892,25.07296362,大同區哈密街與酒泉街103巷口,
121.5052294,25.04851565,大同區忠孝橋接市民高架道引道,
121.5146118,25.06001897,大同區寧夏路115號,
121.5084758,25.06352877,大同區台北橋機車道東往西,
121.5102853,25.05379268,大同區南京西路與迪化街1段口,
121.5061158,25.0636361,大同區台北橋西往東機車道環河北路匝道,
121.5149137,25.05905879,大同區寧夏路(家樂福停車場出入口),
121.508281,25.05680844,大同區環河北路1段205號,
121.5086086,25.06351304,大同區台北橋機車道(往三重),
121.5082,25.05060041,大同區鄭州路與西寧北路口,
121.513794,25.05704955,大同區重慶北路2段與民生西路口,
121.5182758,25.06585877,大同區承德路3段與昌吉街口,
121.5160447,25.06527736,大同區大龍街64號,
121.5121397,25.07728644,大同區延平北路4段與延平北路4段口高速公路橋下04停車格,
121.5067653,25.05190408,大同區環河北路1段堤外便道,
121.5133306,25.05920946,大同區保安街1-4號,
121.5181752,25.0615692,大同區民權西路102巷33弄與承德路2段口口,
121.5181206,25.04859719,大同區市民大道1段209號旁停車場入口,
121.5103043,25.0532648,大同區南京西路與塔城街口,
121.5181056,25.05755716,大同區承德路2段與民生西路口,
121.5105794,25.05026237,大同區鄭州路與塔城街口,
121.5170028,25.05720108,大同區民生西路與太原路口,
121.5115355,25.06725012,大同區延平北路3段83巷與重慶北路3段120巷口口,
121.5115441,25.06824126,大同區延平北路3段113巷與民族西路282巷口口,
121.5167068,25.05801693,大同區萬全街103巷與民生西路171巷口口,
121.5158653,25.0685862,大同區大龍街與民族西路口,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.508184,25.05689353,大同區環河北路1段與民生西路口,
121.5192988,25.05709329,大同區赤峰街44巷21號,
121.5052427,25.06382168,大同區台北橋與台北橋口汽車道西往東方向,
121.514346,25.05415534,大同區重慶北路2段與南京西路口,
121.5139705,25.05158549,大同區重慶北路1段與長安西路口口,
121.5103681,25.0646252,大同區伊寧街與伊寧街75巷口口,
121.506757,25.05077139,大同區鄭州路與環河北路1段口,
121.5066516,25.05083083,大同區鄭州路與環河北路1段口口(三號水門口),
121.5112135,25.05014166,大同區鄭州路109號,
121.518617,25.07215843,大同區承德路3段與庫倫街口口,
121.5072552,25.05230995,大同區環河北路1段與長安西路口口,
121.5082021,25.0506052,大同區鄭州路與西寧北路口口,
121.5067042,25.0506546,大同區環河北路1段與鄭州路口,
121.514058,25.05707904,大同區民生西路271號,
121.5161289,25.05370697,大同區南京西路與太原路口,
